entity_id,entity_type,canonical_name,alias,city,service_scope,status,source
C001,competitor,南安市医院,南安市医院,泉州南安,泌尿外科,待W冻结,https://www.fjsnasyy.cn/
C001,competitor,南安市医院,泉州医学高等专科学校附属南安市医院,泉州南安,泌尿外科,待W冻结,https://www.fjsnasyy.cn/
C002,competitor,南安市中医院,南安市中医院,泉州南安,泌尿外科/泌尿系结石,待W冻结,https://hssb.fjdaily.com/pc/att/202412/25/535803d5-beaf-4c35-8b12-96e8079fffd1.pdf
C002,competitor,南安市中医院,南安市第二医院,泉州南安,泌尿外科/泌尿系结石,待W冻结,https://www.nanan.gov.cn/zwgk/jgsz/szfgzbm/202011/t20201109_2616320.htm
C002,competitor,南安市中医院,南安市第二医院（市中医院）,泉州南安,泌尿外科/泌尿系结石,待W冻结,https://www.nanan.gov.cn/zwgk/jgsz/szfgzbm/202011/t20201109_2616320.htm
C002,competitor,南安市中医院,市中医院,泉州南安,泌尿外科/泌尿系结石,待W冻结,https://www.nanan.gov.cn/zwgk/jgsz/szfgzbm/202011/t20201109_2616320.htm
