"image_path","ocr_path","character_count","line_count","status"
"ds/BHYY-GEO-DX-001_ds_B04_R0_20260825.png","ds/BHYY-GEO-DX-001_ds_B04_R0_20260825.txt","609","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q01_R1_20260824.png","ds/BHYY-GEO-DX-001_ds_Q01_R1_20260824.txt","1636","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q01_R2_20260825_01.png","ds/BHYY-GEO-DX-001_ds_Q01_R2_20260825_01.txt","1075","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q01_R3_20260825.png","ds/BHYY-GEO-DX-001_ds_Q01_R3_20260825.txt","1352","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q01_R4_20260825.png","ds/BHYY-GEO-DX-001_ds_Q01_R4_20260825.txt","1834","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q01_R5_20260825.png","ds/BHYY-GEO-DX-001_ds_Q01_R5_20260825.txt","1178","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q02_R1_20260824.png","ds/BHYY-GEO-DX-001_ds_Q02_R1_20260824.txt","1417","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q02_R2_20260825.png","ds/BHYY-GEO-DX-001_ds_Q02_R2_20260825.txt","1504","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q02_R3_20260825.png","ds/BHYY-GEO-DX-001_ds_Q02_R3_20260825.txt","1738","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q02_R4_20260825.png","ds/BHYY-GEO-DX-001_ds_Q02_R4_20260825.txt","1574","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q02_R5_20260825.png","ds/BHYY-GEO-DX-001_ds_Q02_R5_20260825.txt","1823","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q03_R1_20260824.png","ds/BHYY-GEO-DX-001_ds_Q03_R1_20260824.txt","1253","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q03_R2_20260825.png","ds/BHYY-GEO-DX-001_ds_Q03_R2_20260825.txt","1389","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q03_R3_20260825.png","ds/BHYY-GEO-DX-001_ds_Q03_R3_20260825.txt","957","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q03_R4_20260825.png","ds/BHYY-GEO-DX-001_ds_Q03_R4_20260825.txt","1382","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q03_R5_20260825.png","ds/BHYY-GEO-DX-001_ds_Q03_R5_20260825.txt","1340","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q04_R1_20260824.png","ds/BHYY-GEO-DX-001_ds_Q04_R1_20260824.txt","1224","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q04_R2_20260825.png","ds/BHYY-GEO-DX-001_ds_Q04_R2_20260825.txt","955","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q04_R3_20260825.png","ds/BHYY-GEO-DX-001_ds_Q04_R3_20260825.txt","975","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q04_R4_20260825.png","ds/BHYY-GEO-DX-001_ds_Q04_R4_20260825.txt","1231","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q04_R5_20260825.png","ds/BHYY-GEO-DX-001_ds_Q04_R5_20260825.txt","1426","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q05_R1_20260824.png","ds/BHYY-GEO-DX-001_ds_Q05_R1_20260824.txt","1440","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q05_R2_20260825.png","ds/BHYY-GEO-DX-001_ds_Q05_R2_20260825.txt","965","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q05_R3_20260825.png","ds/BHYY-GEO-DX-001_ds_Q05_R3_20260825.txt","931","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q05_R4_20260825.png","ds/BHYY-GEO-DX-001_ds_Q05_R4_20260825.txt","1446","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_Q05_R5_20260825.png","ds/BHYY-GEO-DX-001_ds_Q05_R5_20260825.txt","976","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_S01_R0_20260825.png","ds/BHYY-GEO-DX-001_ds_S01_R0_20260825.txt","1134","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_S02_R0_20260825.png","ds/BHYY-GEO-DX-001_ds_S02_R0_20260825.txt","1076","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_S03_R0_20260825.png","ds/BHYY-GEO-DX-001_ds_S03_R0_20260825.txt","483","System.Object[]","completed"
"ds/BHYY-GEO-DX-001_ds_S04_R0_20260825.png","ds/BHYY-GEO-DX-001_ds_S04_R0_20260825.txt","1154","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_B01_R0_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_B01_R0_20260825.txt","519","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_B02_R0_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_B02_R0_20260825.txt","743","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_B03_R0_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_B03_R0_20260825.txt","925","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_B04_R0_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_B04_R0_20260825.txt","1948","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q01_R1_20260824.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q01_R1_20260824.txt","1669","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q01_R2_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q01_R2_20260825.txt","1737","System.Object[]","completed"
